学期id,新学期课程序号,课程代码,课程名称,课程教师,平均分,最高分,最低分,预测人数,实际人数,90-100比例,80-89.9比例,70-79.9比例,60-69.9比例,0-59.9比例
662,0004	,b0002002,日语绘本阅读,朱浩昱,80.5,96,0,35,35,34.3%,54.3%,0%,2.9%,8.6%
602,0004	,b0002002,日语绘本阅读,朱浩昱,88.9,94,75,31,31,54.8%,41.9%,3.2%,0%,0%
562,0004	,b0002002,日语绘本阅读,朱浩昱,88.4,94,67,23,22,63.6%,31.8%,0%,4.5%,0%
561,0004	,b0002002,日语绘本阅读,朱浩昱,85.9,99,0,30,30,43.3%,53.3%,0%,0%,3.3%
662,0018	,b0021037,摄影技巧与图像处理,毕烨,86.6,98,70,41,41,53.7%,29.3%,17.1%,0%,0%
622,0018	,b0021037,摄影技巧与图像处理,毕烨,84.5,95,65,58,58,36.2%,53.4%,6.9%,3.4%,0%
602,0018	,b0021037,摄影技巧与图像处理,毕烨,85,95,60,66,63,42.9%,44.4%,11.1%,1.6%,0%
561,0018	,b0021037,摄影技巧与图像处理,毕烨,82.5,95,60,72,69,31.9%,46.4%,15.9%,5.8%,0%
662,0022	,b0021054,实用心理学,朱小麟,85.4,96,70,46,44,36.4%,43.2%,15.9%,4.5%,0%
622,0022	,b0021054,实用心理学,朱小麟,85.7,93,15,81,81,59.3%,28.4%,9.9%,1.2%,1.2%
662,1633	,g2062183,咖啡服务管理,外教酒,95.1,96,81,38,38,94.7%,5.3%,0%,0%,0%
662,0081	,b0022102,日本动漫艺术概论,左文海,83.6,100,0,47,47,53.2%,27.7%,6.4%,8.5%,4.3%
622,0081	,b0022102,日本动漫艺术概论,左文海,85.3,100,0,80,80,63.8%,17.5%,12.5%,3.8%,2.5%
602,0081	,b0022102,日本动漫艺术概论,左文海,74.4,98,28,85,85,18.8%,29.4%,21.2%,20%,10.6%
562,0081	,b0022102,日本动漫艺术概论,左文海,85.9,100,64,79,75,56%,21.3%,12%,10.7%,0%
561,0081	,b0022102,日本动漫艺术概论,左文海,86.6,100,50,81,79,59.5%,30.4%,7.6%,1.3%,1.3%
662,0505	,b4012109,智能统计学技术课程实习,王彤,84,91,77,2,2,50%,0%,50%,0%,0%
602,0505	,b4012109,智能统计学技术课程实习,王彤,80.3,94,52,49,49,28.6%,28.6%,18.4%,4.1%,20.4%
662,0337	,b2041099,设计构成(A),王斯华,77.1,87,65,22,21,0%,28.6%,52.4%,19%,0%
